date,stock,action,quantity,price,value,reasoning,review_date
2024-06-20,MOSCHIP.NS,BUY,200,276.75,55350.0,,
2024-06-20,PANAMAPET.NS,SELL,125,405.04,50630.0,,
2024-06-20,539217.0.NS,BUY,3000,2.09,6270.0,,
2024-06-20,MOSCHIP.NS,SELL,200,279.25,55850.0,,
2024-06-20,EXICOM.NS,BUY,150,366.7,55005.0,,
2024-06-20,KNRCON.NS,SELL,110,356.5,39215.0,,
2024-06-21,MOSCHIP.NS,BUY,150,303.8,45570.0,,
2024-06-21,VPRPL.NS,BUY,250,202.75,50687.5,,
2024-06-21,NFL.NS,BUY,300,154.12,46236.0,,
2024-06-21,MOSCHIP.NS,SELL,150,314.1,47115.0,,
2024-06-24,EXICOM.NS,SELL,150,417.0,62550.0,,
2024-06-24,PARAS.NS,SELL,25,1407.95,35198.75,,
2024-06-25,CELLECOR.NS,BUY,600,320.25,192150.0,,
2024-06-25,CELLECOR.NS,SELL,600,325.0,195000.0,,
2024-06-25,EXIDEIND.NS,BUY,100,595.9,59590.0,,
2024-06-25,GRSE.NS,BUY,80,2032.65,162612.0,,
2024-06-25,GRSE.NS,SELL,80,2050.0,164000.0,,
2024-06-26,TIMETECHNO.NS,BUY,150,342.75,51412.5,,
2024-06-26,VPRPL.NS,SELL,250,209.04,52260.0,,
2024-06-26,MAZDOCK.NS,BUY,25,4167.6,104190.0,,
2024-06-26,MAZDOCK.NS,SELL,5,4194.9,20974.5,,
2024-06-26,MAZDOCK.NS,SELL,20,4170.0,83400.0,,
2024-06-26,AXISBANK.NS,SELL,40,1265.55,50622.0,,
2024-06-26,MAZDOCK.NS,BUY,30,4165.78,124973.4,,
2024-06-26,INDIACEM.NS,BUY,200,267.34,53468.0,,
2024-06-26,CESC.NS,BUY,120,166.64,19996.8,,
2024-06-26,MAZDOCK.NS,SELL,30,4167.0,125010.0,,
2024-06-26,GAIL.NS,SELL,250,214.92,53730.0,,
2024-06-26,CESC.NS,SELL,120,168.5,20220.0,,
2024-06-27,INDIACEM.NS,SELL,200,289.2,57840.0,,
2024-06-27,CEMPRO.NS,BUY,100,529.9,52990.0,,
2024-06-27,KEC.NS,BUY,20,926.9,18538.0,,
2024-06-27,RVNL.NS,BUY,75,415.75,31181.25,,
2024-06-27,INDIACEM.NS,BUY,150,297.95,44692.5,,
2024-06-27,ROUTE.NS,BUY,50,1858.91,92945.5,,
2024-06-27,WHIRLPOOL.NS,BUY,10,2003.95,20039.5,,
2024-06-27,ROUTE.NS,SELL,50,1880.0,94000.0,,
2024-06-27,INDIACEM.NS,SELL,1,284.35,284.35,,
2024-06-27,INDIACEM.NS,SELL,149,295.0,43955.0,,
2024-06-28,RBLBANK.NS,BUY,150,264.1,39615.0,,
2024-06-28,BRIGADE.NS,BUY,25,1384.99,34624.75,,
2024-06-28,BHEL.NS,BUY,150,306.36,45954.0,,
2024-06-28,JSWINFRA.NS,BUY,100,332.86,33286.0,,
2024-07-01,CEMPRO.NS,SELL,100,533.5,53350.0,,
2024-07-01,IREDA.NS,BUY,200,199.36,39872.0,,
2024-07-01,KPEL.NS,SELL,125,418.05,52256.25,,
2024-07-01,539217.0.NS,SELL,3000,1.78,5340.0,,
2024-07-01,WHIRLPOOL.NS,SELL,10,2034.07,20340.7,,
2024-07-01,RBLBANK.NS,SELL,150,262.8,39420.0,,
2024-07-01,JSWINFRA.NS,SELL,100,353.15,35315.0,,
2024-07-02,TEXRAIL.NS,BUY,200,252.27,50454.0,,
2024-07-02,BRIGADE.NS,SELL,25,1390.0,34750.0,,
2024-07-03,PDMJEPAPER.NS,BUY,250,131.59,32897.5,,
2024-07-03,KEC.NS,SELL,20,934.55,18691.0,,
2024-07-03,BHEL.NS,SELL,150,301.05,45157.5,,
2024-07-03,IREDA.NS,SELL,200,225.0,45000.0,,
2024-07-04,HFCL.NS,SELL,400,125.0,50000.0,,
2024-07-04,INOXWIND.NS,BUY,200,149.87,29974.0,,
2024-07-04,CELLO.NS,BUY,40,1008.67,40346.8,,
2024-07-04,NHPC.NS,SELL,250,103.5,25875.0,,
2024-07-04,MAZDOCK.NS,BUY,10,4927.5,49275.0,,
2024-07-04,GRSE.NS,BUY,25,2569.95,64248.75,,
2024-07-04,COCHINSHIP.NS,BUY,17,2539.0,43163.0,,
2024-07-04,INOXWIND.NS,SELL,200,156.73,31346.0,,
2024-07-04,MAZDOCK.NS,SELL,10,5470.25,54702.5,,
2024-07-04,GRSE.NS,SELL,25,2640.05,66001.25,,
2024-07-05,IRCON.NS,BUY,150,290.95,43642.5,,
2024-07-05,COCHINSHIP.NS,SELL,17,2815.7,47866.9,,
2024-07-05,RVNL.NS,SELL,75,493.0,36975.0,,
2024-07-08,MANINDS.NS,BUY,100,494.37,49437.0,,
2024-07-08,RVNL.NS,BUY,150,543.05,81457.5,,
2024-07-08,GTLINFRA.NS,BUY,5000,4.32,21600.0,,
2024-07-08,RVNL.NS,SELL,150,539.65,80947.5,,
2024-07-08,DOMS.NS,BUY,25,2279.95,56998.75,,
2024-07-08,NAVA.NS,BUY,100,747.45,74745.0,,
2024-07-08,DELTACORP.NS,BUY,380,139.73,53097.4,,
2024-07-08,NFL.NS,SELL,300,150.0,45000.0,,
2024-07-09,DSSL.NS,BUY,35,1363.63,47727.05,,
2024-07-09,MANINDS.NS,SELL,100,500.0,50000.0,,
2024-07-09,TEXRAIL.NS,SELL,200,271.12,54224.0,,
2024-07-09,GMBREW.NS,BUY,43,915.8,39379.4,,
2024-07-10,SWANCORP.NS,BUY,80,738.08,59046.4,,
2024-07-10,DOMS.NS,SELL,25,2291.85,57296.25,,
2024-07-10,DELTACORP.NS,SELL,150,144.3,21645.0,,
2024-07-11,SHALBY.NS,BUY,125,292.3,36537.5,,
2024-07-11,IRB.NS,BUY,300,69.63,20889.0,,
2024-07-11,SWANCORP.NS,SELL,1,727.0,727.0,,
2024-07-11,YESBANK.NS,BUY,1000,26.3,26300.0,,
2024-07-11,IRCON.NS,SELL,150,314.45,47167.5,,
2024-07-11,KPIL.NS,BUY,25,1394.98,34874.5,,
2024-07-11,DELTACORP.NS,SELL,230,145.42,33446.6,,
2024-07-11,APOLLOTYRE.NS,SELL,40,528.25,21130.0,,
2024-07-11,SHALBY.NS,SELL,125,300.0,37500.0,,
2024-07-11,IZMO.NS,BUY,150,534.69,80203.5,,
2024-07-11,SWANCORP.NS,SELL,79,737.71,58279.09,,
